palavra,id,dur_s,canal,titulo,licenca,veredito,alertas,revisao_manual
ler,6mCSlgvXGJU,17,LibrasLab,Sinal de “LER” em Libras com LibrasLab,(nenhuma declarada),descartar,medio,
ler,GHxNG97at2g,21,Simone Libras,LER EM LIBRAS | VERBO LER EM LIBRAS | SINAL DE LER EM LIBRAS,(nenhuma declarada),descartar,longo,
ler,6wrQWI2BLfA,37,Sinais diários de Libras,Sinal de LER / LEITURA em LIBRAS,(nenhuma declarada),descartar,longo,
ler,IMt6IW6NpzU,102,DICIONÁRIO LIBRAS,Sinal de LER em Libras,(nenhuma declarada),descartar,longo,
levantar,in9uofivfu8,23,Hellen Pereira Lima,LIBRAS BÍBLIA - Levantar x Cair (Adjetivo/Sentimento),(nenhuma declarada),descartar,longo|titulo-composto,
levar,IJunKXcMNzs,3,AMO LIBRAS,LIBRAS  levar,(nenhuma declarada),candidato,,
levar,Gh2Tu7IxvhI,13,Vivendo LIBRAS Diariamente,Levar (LIBRAS),(nenhuma declarada),descartar,medio,
levar,brCezcyagPE,22,Inep Oficial,Levar o DVD da Videoprova em Libras | Enem em Libras 2018,(nenhuma declarada),descartar,longo|titulo-composto,
levar,jj_2JTzuw50,31,Hellen Pereira Lima,LIBRAS BÍBLIA - Trazer x Levar (Adjetivo/Sentimento),(nenhuma declarada),descartar,longo|titulo-composto,mesmo video usado para 'levar' e 'trazer' — conflito de rotulo
levar,PY8ZLcrJ7wE,73,Wellington G. Palma,Levar em Libras (5 Sinais),(nenhuma declarada),descartar,longo,
marcar,e8iiLE8o46k,171,Sinais diários de Libras,MARCAR - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
medo,9Z9UtH87kKk,72,Neto Libras,COMO Perder o MEDO de FALAR / SINALIZAR em LIBRAS,(nenhuma declarada),descartar,longo|titulo-composto,
mostrar,t-adUyr9-Lg,11,Milania - Libras,Sinal em Libras de MOSTRAR/ APRESENTAR/EXIBIR,(nenhuma declarada),descartar,medio,
mostrar,mXYJIR_iiAk,16,LibrasLab,Sinal de “MOSTRAR” em Libras com LibrasLab,(nenhuma declarada),descartar,medio,
mostrar,Jq5xqWZZCSE,19,Simone Libras,APRESENTAR / MOSTRAR EM LIBRAS| SINAL DE APRESENTAR | PALAVRA EM LIBRAS | Simone Libras,(nenhuma declarada),descartar,medio|titulo-composto,
mostrar,3t4v0X-2NHo,24,Hellen Pereira Lima,LIBRAS BÍBLIA - Disfarçar x Mostrar (Adjetivo/Sentimento),(nenhuma declarada),descartar,longo|titulo-composto,
mostrar,JmB-nrcWluA,97,Sinais diários de Libras,MOSTRAR | MOSTRA - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
nao,g5uLm2N0mY0,17,LibrasLab,Sinal de “NÃO” em Libras com LibrasLab,(nenhuma declarada),descartar,medio,
nervoso,hSei88IDjBM,19,Sinais diários de Libras,Sinal de NERVOSO | NERVOSA em LIBRAS,(nenhuma declarada),descartar,medio,
nome,TotOUnrWBdI,5,Incluir Tecnologia,Libras - Nome completo,(nenhuma declarada),descartar,,"rotulo errado: o video e 'NOME COMPLETO' (composto), nao 'nome'"
nome,R4qxkPmSdLY,15,Min e as mãozinhas,"MINuto Libras - Sinal de hoje ""Meu nome""",(nenhuma declarada),descartar,medio|titulo-composto,
nome,nJQ3pjPZhnU,43,Simone Libras,Qual seu nome?| Qual Seu nome em Libras| Simone Libras,(nenhuma declarada),descartar,longo|titulo-composto,
nome,-4NrBGLwex8,44,Ana Paula Marques Intérprete de Libras,"Sinal da palavra ""Nome"" em Libras - Língua Brasileira de Sinais",(nenhuma declarada),descartar,longo,
nome,VHsY4xFczPc,164,Sinais diários de Libras,"NOME ( seu nome, meu nome, nome coisa ) - SINAL EM LIBRAS",(nenhuma declarada),descartar,longo|titulo-composto,
obrigado,vub7frPhIQQ,4,Master Link Libras,"LIBRAS, OBRIGADO",(nenhuma declarada),candidato,,
obrigado,syoVxS7zeNY,11,Débora Oliveira,Minuto em Libras: Obrigado / Obrigada,(nenhuma declarada),descartar,medio,
obrigado,IqcDzU6pi_k,15,Min e as mãozinhas,"MINuto Libras - Sinal de hoje ""Obrigado""",(nenhuma declarada),descartar,medio,
obrigado,1OUgjL9FXlE,29,Sinais diários de Libras,Sinal de AGRADECER / OBRIGADO / GRATIDÃO em LIBRAS,(nenhuma declarada),descartar,longo,
obrigado,s73yj4lSf94,44,Escola de Libras | Professor Gustavo Paes,COMO SE DIZ EM LIBRAS - OBRIGADO,(nenhuma declarada),descartar,longo|aula/explicativo,
onde,ESKTx1iEyl4,15,Pedro Paulo,Lugar / onde Sinal em Libras.,(nenhuma declarada),descartar,medio,
onde,sVGn8oelNw4,77,Sinais diários de Libras,Sinal de LUGAR | ONDE | LOCAL | LOCALIZAR em LIBRAS,(nenhuma declarada),descartar,longo|titulo-composto,
perguntar,QIQyENCW-Tk,131,Sinais diários de Libras,PERGUNTAR | PERGUNTA - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
por-favor,HHXp06ezgEQ,5,Libras em Tudo Samara Almeida,Com Licença/Por Favor - Sinal em Libras,(nenhuma declarada),descartar,,titulo com dois sinais ('A/B'): qual esta no clipe?
por-favor,V3xEY9sykjY,12,Tarso TILSP,Sinal de POR FAVOR em Libras,(nenhuma declarada),descartar,medio,
por-favor,3A4to--R6aE,15,Min e as mãozinhas,"MINuto Libras - Sinal de hoje ""Por Favor""",(nenhuma declarada),descartar,medio,
por-favor,lDOR-cnhfQc,15,Pedro Paulo,Por favor Sinal em Libras.,(nenhuma declarada),descartar,medio,
por-favor,PjhcPVuNWDs,105,Sara França,"DIFERENÇAS de ""Por favor"" e ""Com licença"" - Em Libras",(nenhuma declarada),descartar,longo|titulo-composto,
porque,ZF0fv66xQWI,2,motivabrasil,Dicionario de Libras porque,(nenhuma declarada),candidato,,
porque,zdGaRBjU0uM,5,M.t.s Libras,"Sinal de ""PORQUE"" em Libras",(nenhuma declarada),candidato,,
porque,37_69gq6hpg,13,Carlos Chaves Libras,Sinal de Porque em Libras | Carlos Chaves,(nenhuma declarada),descartar,medio,
porque,0NBGxScwpLo,16,Simone Libras,POR QUE em LIBRAS | Sinal da Palavra PORQUE em LIBRAS | Simone Libras,(nenhuma declarada),descartar,medio|titulo-composto,
porque,z_Nh25YWhbc,99,Sulivan Wainer,Tipos de Porque com Libras,(nenhuma declarada),descartar,longo,
precisar,ZO_G4kiX-Uo,3,Incluir Tecnologia,Libras - Precisar,(nenhuma declarada),candidato,,
precisar,iYWPY7YmA-8,6,FCEE - Traduções em LIBRAS,Necessidade (precisar) - Libras,(nenhuma declarada),candidato,,
precisar,gcfIS2nsxps,16,LibrasLab,Sinal de “PRECISAR” em Libras com LibrasLab,(nenhuma declarada),descartar,medio,
precisar,o9xp8DzhjSU,52,Digital Libras,Digital Libras | Sinal de precisar,(nenhuma declarada),descartar,longo,
precisar,ScakO-9bMAQ,116,Academia de Libras,Sinal de PRECISAR em LIBRAS | LÍNGUA DE SINAIS,(nenhuma declarada),descartar,longo,
preciso,LLXGGLyE4uo,18,YTAGirardi ,Frase em Libras: Eu preciso de você,(nenhuma declarada),descartar,medio|aula/explicativo|titulo-composto,
protocolo,xOypLUywmNU,14,Norte de Libras | Sinalário,Sinal de protocolo em libras,(nenhuma declarada),descartar,medio,
quando,sT_UtRWc73w,2,motivabrasil,Dicionario de Libras quando,(nenhuma declarada),candidato,,
quando,z-pybYudVfM,2,radiobetel,Dicionario de Libras quando,(nenhuma declarada),candidato,,
quando,DOB_etvQfeM,13,Simone Libras,QUANDO em LIBRAS | SINAL da Palavra QUANDO em LIBRAS | Simone Libras,(nenhuma declarada),descartar,medio|titulo-composto,
quando,VUn4R7mudKM,126,Turma da Boiadeirinha,Libras Quando Eu Crescer | Clipe Musical - Turma da Boiadeirinha,(nenhuma declarada),descartar,longo|titulo-composto,
quero,wlZg3JwmXL8,27,Real Libras,"Sinal de ""Quero"" em Libras",(nenhuma declarada),descartar,longo,
ruim,OiysZ7GJ2qU,15,Pedro Paulo,Ruim Sinal em Libras.,(nenhuma declarada),descartar,medio,
ruim,BDGvkp5CxZA,19,Hellen Pereira Lima,LIBRAS BÍBLIA - Bem x Ruim (Adjetivo/Sentimento),(nenhuma declarada),descartar,medio|titulo-composto,
ruim,Z0kxSA7lQhw,23,Estudante de Libras,Sinal de RUIM em Libras,(nenhuma declarada),descartar,longo,
ruim,7aGzTguPcbY,33,LIBRAS - Eric Lameu,Sinal de RUIM/MAL em LIBRAS,(nenhuma declarada),descartar,longo,
ruim,-7Rzdp6qCZM,55,Gabriel Goergen,Como se diz RUIM em Libras?,(nenhuma declarada),descartar,longo|aula/explicativo,
sair,8-rDLV_TMhY,5,Informática em LIBRAS,Sair - Informática em LIBRAS,(nenhuma declarada),candidato,,
sair,Ze9zvkxb_VU,5,ASSPP Presidente Prudente e região,Sair em Libras,(nenhuma declarada),candidato,,
sair,gAA8zW0AKLA,12,Vivendo LIBRAS Diariamente,SINAL LIBRAS (SAIR),(nenhuma declarada),descartar,medio,
sair,doMUR9f9Kw4,59,Robson Rodrigues Libras,Sinal sair em Libras,(nenhuma declarada),descartar,longo,
sair,7dvBFrXnFxY,85,Sinais diários de Libras,SAIR | IR EMBORA - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
senha,q7GN1AJXeFU,5,LibrasEaD Glossário,"Sinal-termo ""Senha"" - Glossário Libras EaD",(nenhuma declarada),descartar,titulo-composto,
senha,_1gfqLbgvuU,146,FATIMA Morais,"LIBRAS: Eu tenho a SENHA, clipe de  TARCÍSIO DO ACORDEON.",(nenhuma declarada),descartar,longo|titulo-composto,
senha,yKbVsDyziDI,155,Sinais diários de Libras,SENHA | SEGREDO | CÓDIGO - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
sentar,hKImzxXTd14,39,Profª Paula | Libras Natural ,195º CURSO DE LIBRAS |  SENTAR,(nenhuma declarada),descartar,longo|aula/explicativo,
sim,4_gsOiAvvoI,19,LibrasLab,Sinal de “SIM” em Libras com LibrasLab,(nenhuma declarada),descartar,medio,
trazer,X_sGUOYP880,2,alefer2012,Dicionario de Libras trazer,(nenhuma declarada),candidato,,
trazer,vE04wlp6Agw,2,motivabrasil,Dicionario de Libras trazer,(nenhuma declarada),candidato,,
trazer,NtUtqUwaRhM,10,Tarso TILSP,Sinal de TRAZER em Libras,(nenhuma declarada),descartar,medio,
trazer,jj_2JTzuw50,31,Hellen Pereira Lima,LIBRAS BÍBLIA - Trazer x Levar (Adjetivo/Sentimento),(nenhuma declarada),descartar,longo|titulo-composto,mesmo video usado para 'levar' e 'trazer' — conflito de rotulo
trazer,UXsXFP6mToQ,42,Hellen Pereira Lima,LIBRAS BÍBLIA - Trazer (Verbo),(nenhuma declarada),descartar,longo,
urgente,g9uJgU9vJLI,68,Libras em alguns minutos ,"Perigo, Grave, Urgente e Cuidado em Libras | Aprenda os Sinais Essenciais",(nenhuma declarada),descartar,longo|aula/explicativo|titulo-composto,
voltar,PjrFp93O4Ew,19,Tarso TILSP,Sinal de VOLTAR em Libras @TarsoTILSP,(nenhuma declarada),descartar,medio,
voltar,E3T7O0A8CQo,26,Felipe Souza,Sinal de Regressar / Retornar / Voltar em Libras,(nenhuma declarada),descartar,longo,
voltar,-9NNV-6Iw3k,52,Wellington G. Palma,Voltar em Libras (5 Sinais),(nenhuma declarada),descartar,longo,
voltar,_k5HpKepiZw,118,Sinais diários de Libras,VOLTAR | RETORNAR - SINAL EM LIBRAS,(nenhuma declarada),descartar,longo,
voltar,5OCzA6cn_qY,141,Hellen Pereira Lima,LIBRAS BÍBLIA - Voltar (Verbo),(nenhuma declarada),descartar,longo,
